name,true_sentiment,text,normalized_text,key_words
Слой х Вспышка,Positive,"Самая любимая кафешка на районе: вкуснейший кофе и выпечка, большой выбор красивых эклеров (дочь обожает и съедает по 2 штуки за раз😄). С удовольствием приходим сюда с друзьями, родными. Иногда тут бывает многовато людей и официанты бывают немного фрустрированы, но всегда очень внимательны и дружелюбны – при любой посадке про вас не забудут🤍",самый любимая кафешка район вкусный кофе выпечка большой выбор красивый эклер дочь обожать съедать штука удовольствие приходить сюда друг родные бывать многовато человек официант бывать немного фрустрировать очень внимательный дружелюбный любой посадка забывать,"[('самый любимая', np.float64(0.01813530724319174)), ('посадка забывать', np.float64(0.01813530724319174)), ('любимая кафешка', np.float64(0.03017914713307598)), ('кафешка район', np.float64(0.03017914713307598)), ('район вкусный', np.float64(0.03017914713307598))]"
Оливье Жиру,Negative,"Ну , вот добрался наконец и до вас 👌 Что можно сказать о качестве блюд домашней кухни , как было заявлено в рекламных буклетах и баннерах ,  Не дотягивает даже на троечку , по десятибалльной шкале , блюда при наличии микроволновых печей , всё равно остаются холодные  ! Качество мойки столовых приборов , ну может быть моют в туалетной комнате персонала в субботу , подали вилку с засохшем куском какой то субстанции  , попросил поменять , принесли практически  такую же , только субстанции меньше !  Со стороны кассы ,  персонала , и прилавка с кормом ( по другому я не могу это назвать ) постоянно кто то ходит , какой-то человек с длинными волосами , тут же его обгоняет мадам  в платке траурном из средней Азии  , и всё это происходит  рядом с кормом , который находится в доступности их бацил , волос , слюней и тд  .. По персоналу пройдусь отдельно ,  Натянутые улыбки , не первой свежести спец одежда  , какая то полубандана на головах , из которой торчат и падают , ВОЛОСЫ ( это общепит ребята , вы угораете ?)  Дверь входная , постоянно открыта , не имеете возможности поставить кондиционер в помещении ?? ( зачем тогда вы этим занимаетесь ?? )  Уборка отвратительная  , полы грязные , столы аналогично   ! Нет элементарных салфеток за столами , что бы протереть ваши немытые вилки , ножи , ложки !  Качество блюд не особо радует , потому , что попробовал их холодными ,  Драники у вас это плевок в душу поварскому искусству ,  Вообщем дегустация вашей кулинарии , получилась провальной , какая то 1000 рублей на заказанные позиции ,  и вы в топе моего чёрного списка  ! Даже не хочется оставлять вам шанс на реабилитацию 👌",добираться сказать качество блюдо домашний кухня заявлять рекламный буклет баннер дотягивать троечка десятибалльный шкала блюдо наличие микроволновый печь равный оставаться холодный качество мойка столовый прибор мочь мыть туалетный комната персонал суббота подавать вилка засыхать кусок субстанция попросить поменять приносить практически субстанция мало сторона касса персонал прилавок корм мочь называть постоянно ходить человек длинный волос оно обгонять мадам платок траурный средний азия весь происходить рядом корм который находиться доступность бацил волос слюни персонал проходиться отдельно натягивать улыбка первый свежесть спец одежда полубандана голова который торчать падать волос общепит ребята угорать дверь входной постоянно открывать иметь возможность поставлять кондиционер помещение заниматься уборка отвратительный пол грязный стол аналогично элементарный салфетка стол протирать ваш немытый вилка нож ложка качество блюдо особо радовать попробовать холодный драник плевок душа поварской искусство вообщий дегустация ваш кулинария получаться провальный рубль заказывать позиция топ черный список хотеться оставлять шанс реабилитация,"[('шанс реабилитация', np.float64(0.0127885633284781)), ('качество блюдо', np.float64(0.017795368747238756)), ('домашний кухня', np.float64(0.019115601909899672)), ('кухня заявлять', np.float64(0.019115601909899672)), ('заявлять рекламный', np.float64(0.019115601909899672))]"
BBQ kitchen,Positive,"Шикарное место, вкусно готовит, приятная атмосфера! Только официанты далеко не. Сразу обращают внимания",шикарный место вкусно готовить приятный атмосфера официант далеко сразу обращать внимание,"[('шикарный место', np.float64(0.04940384002065631)), ('обращать внимание', np.float64(0.04940384002065631)), ('место вкусно', np.float64(0.09700399286574239)), ('вкусно готовить', np.float64(0.09700399286574239)), ('готовить приятный', np.float64(0.09700399286574239))]"
Роща,Negative,"23.02.23 отмечали день рождение в Роще, столик заранее заказали на 17 часов. Была заказана сковорода с картошкой и мясом... Блюдо было приготовлено из мороженной картошки, она была сладкая, но ОЧЕНЬ шикарно сдобрено перцем. Также были заказаны шашлыки, люля и ароматные куриные крылышки... В 21 час пошли требовать где вышеперечисленные яства, но получили грубую брань, с дерзким переходом на ТЫ. Расчёт наверно был на то, что народ не трезвый и забудет про заказ. Но мы не забыли. Чтобы отделаться от нас, нам наконец принесли шашлыки, люля и крылышки, но все это тупо разбросали на две тарелки мясной кучей. В этом ассорти было уменьшено количество порции, ав общей массе этого не заметно, но мы все проверили... А музыка это отдельный разговор! Заказали песню, так даже имя не смог ведущий запомнить, хотя за весь вечер всего три заказа было. Стоимость 300 руб.!!! В Береге живая музыка и всего 200 руб.. Вывод:первый и последний раз в Роще. Еще:язык был не доварен, не жевался, а рыбная нарезка из старой рыбы. ",отмечать день рождение роща столик заранее заказывать час заказывать сковорода картошка мясо блюдо приготавливать мороженный картошка сладкий очень шикарно сдабривать перец также заказывать шашлык люля ароматный куриный крылышко час пойти требовать вышеперечисленный яство получать грубый брань дерзкий переход расчет наверно народ трезвый забывать заказ забывать отделываться приносить шашлык люля крылышко весь тупо разбрасывать тарелка мясной куча ассорти уменьшать количество порция ава общий масса заметно проверять музыка отдельный разговор заказывать песня имя смочь вести запоминать хотя весь вечер весь заказ стоимость руб берег живой музыка весь руб вывод первый последний роща язык доваривать жеваться рыбный нарезка старый рыба,"[('шашлык люля', np.float64(0.0067288457097339546)), ('старый рыба', np.float64(0.009859007320179481)), ('люля ароматный', np.float64(0.013600349565232225)), ('приносить шашлык', np.float64(0.013600349565232225)), ('столик заранее', np.float64(0.013744540466609615))]"
Караван,Positive,"Отличная база отдыха, часто с семьей отдыхаем здесь. Доброжелательный персонал. Хотелось бы оставить отельный отзыв про кафе, еда очень вкусная и по приятной цене. Так же в кафе можно приобрести домашние сыры, молоко и так далее.  Советую хоть раз посетить караван! ",отличный база отдых часто семья отдыхать доброжелательный персонал хотеться оставлять отельный отзыв кафе еда очень вкусный приятный цена кафе приобретать домашний сыр молоко далее советовать посещать караван,"[('отличный база', np.float64(0.01842270036858818)), ('посещать караван', np.float64(0.01842270036858818)), ('база отдых', np.float64(0.0306441008900016)), ('семья отдыхать', np.float64(0.0306441008900016)), ('отдыхать доброжелательный', np.float64(0.0306441008900016))]"
Альтаир,Positive,"Кафе не назовёшь, но столовая классная. Быстрое обслуживание, персонал хороший, вежливый. Еда вкусная, по цене приемлемо, короче твёрдая 5!",кафе называть столовая классный быстрый обслуживание персонал хороший вежливый еда вкусный цена приемлемый короче твердый,"[('кафе называть', np.float64(0.04940384002065631)), ('короче твердый', np.float64(0.04940384002065631)), ('называть столовая', np.float64(0.09700399286574239)), ('столовая классный', np.float64(0.09700399286574239)), ('классный быстрый', np.float64(0.09700399286574239))]"
BuuzaLove,Negative,Все равно не опубликуете мой отзыв. Но! Подали салат Цезарь с испорченными листьями салата. Позы были нормальными. Больше туда не зайду.,равный опубликовывать отзыв подавать салат цезарь испорченный лист салат поза нормальный туда зайти,"[('равный опубликовывать', np.float64(0.019943439662486344)), ('опубликовывать отзыв', np.float64(0.033100028790236186)), ('отзыв подавать', np.float64(0.033100028790236186)), ('цезарь испорченный', np.float64(0.033100028790236186)), ('испорченный лист', np.float64(0.033100028790236186))]"
Кавказская Пленница,Negative,"Давно хотели сходить в это заведение. Выбрали день рождения подруги, позвонили, нам положительно ответили. Собрались довольные, вызвали такси, и при входе в данное место огромное лицо ,с порога сообщило, что именно Вы сюда не зайдëте. Лично мы, потому что он так хочет и не вышли лицом. Это что было? Пьяные хари сновали туда, сюда. Но нам в грубой форме было отказано. Мы просто в шоке от этого вышибалы. Хотелось бы знать, почему такой отбор посетителей, и как стать прекрасными для Вашей забегаловки? Больше ни ногой, благо есть верный, добрый Шипр. Замечательно провели время. ",давно хотеть сходить заведение выбирать день рождение подруга позвонить положительно отвечать собираться довольный вызывать такси вход данный место огромный лицо порог сообщать именно сюда зайти лично хотеть выходить лицо пьяный харя сновать туда сюда грубый форма отказывать просто шок вышибала хотеться знать почему отбор посетитель становиться прекрасный ваш забегаловка нога благо верный добрый шипр замечательно проводить время,"[('сходить заведение', np.float64(0.030813241675512887)), ('заведение выбирать', np.float64(0.030813241675512887)), ('рождение подруга', np.float64(0.030813241675512887)), ('подруга позвонить', np.float64(0.030813241675512887)), ('позвонить положительно', np.float64(0.030813241675512887))]"
Махалино,Negative,"есть хорошая питьевая вода   за неё звезда. асфальтированная парковка, туалет бесплатный в помещении кафе. в кафе пища почему-то постоянно пересланная,есть можно. хлеб в открытом доступе,люди выходят после туалета или с улицы не помыв руки и лапают всё до чего дотягиваются.",хороший питьевой вода звезда асфальтировать парковка туалет бесплатный помещение кафе кафе пища постоянно пересылать хлеб открытый доступ человек выходить туалет улица помыть рука лапать дотягиваться,"[('хороший питьевой', np.float64(0.019943439662486344)), ('лапать дотягиваться', np.float64(0.019943439662486344)), ('питьевой вода', np.float64(0.033100028790236186)), ('вода звезда', np.float64(0.033100028790236186)), ('звезда асфальтировать', np.float64(0.033100028790236186))]"
Лесной театр фон Мекка,Positive,"Спасибо большое прекрасным людям, которые облагородили наше озеро! Тут проводятся разные мастер-классы, тематические вечера и концерты. Очень нравится это место🙏🏻",спасибо большой прекрасный человек который облагораживать наш озеро проводиться разный тематический вечер концерт очень нравиться место,"[('нравиться место', np.float64(0.04940384002065631)), ('большой прекрасный', np.float64(0.09700399286574239)), ('озеро проводиться', np.float64(0.09700399286574239)), ('проводиться разный', np.float64(0.09700399286574239)), ('разный тематический', np.float64(0.09700399286574239))]"
Чайхана,Negative,"Одно слово - отвратительно! Забежал по дороге купить плов. Внутри очень грязно, куда смотрит СЭС.? Приехал домой, открыл банку с пловом, а там один кусочек мяса на всю порцию за 200 р. По вкусу, это никакой не плов, это рис с сухой морковкой. Ещё более отвратительно, что хозяин был очень вежливый :""Посмотрите меню, оставьте отзыв"", а в результате плохая еда и ощущение, что тебя надули(подставьте любое бранное слово). И да, чек тоже не дали, повод для Налоговой заглянуть. В общем-не рекомендую! ",слово отвратительно забегать дорога купить плов внутри очень грязно смотреть сэс приезжать домой открывать банка плов кусочек мясо весь порция вкус никакой плов рис сухой морковка отвратительно хозяин очень вежливый посмотреть меню оставлять отзыв результат плохой еда ощущение надувать подставлять любой бранный слово чек давать повод налоговый заглядывать общий рекомендовать,"[('общий рекомендовать', np.float64(0.0122343457331296)), ('забегать дорога', np.float64(0.018302617227318158)), ('дорога купить', np.float64(0.018302617227318158)), ('грязно смотреть', np.float64(0.018302617227318158)), ('смотреть сэс', np.float64(0.018302617227318158))]"
Тайяки,Negative,"Буду вспоминать ужасный вкус лука ещё неделю, перебивает вкус всего в мире. Курица отвратительная, будто один жир жуешь. Свинина деревянная. Официанты суетные, помещение маленькое, мест мало. Повара почему-то без головных уборов и перчаток выходят с кухни. 0/10",вспоминать ужасный вкус лук неделя перебивать вкус мир курица отвратительный жир жевать свинина деревянный официант суетный помещение маленький место мало повар головной убор перчатка выходить кухня,"[('вспоминать ужасный', np.float64(0.01842270036858818)), ('выходить кухня', np.float64(0.01842270036858818)), ('лук неделя', np.float64(0.0306441008900016)), ('неделя перебивать', np.float64(0.0306441008900016)), ('мир курица', np.float64(0.0306441008900016))]"
Kaunis Paikka,Positive,"Замечательное место, спасло нас от голода по приезду в Сортавала, которая встретила нас холодом и дождем! Здесь вкусный завтрак и ужин. Прекрасные женщины, которые Вас обязательно накормят! Очень советую! Была с двумя детьми: 8 и 15 лет.",замечательный место спасать голод приезд сортавала который встречать холод дождь вкусный завтрак ужин прекрасный женщина который обязательно накормить очень советовать ребенок год,"[('замечательный место', np.float64(0.015380821171891606)), ('место спасать', np.float64(0.02570861714399338)), ('спасать голод', np.float64(0.02570861714399338)), ('голод приезд', np.float64(0.02570861714399338)), ('приезд сортавала', np.float64(0.02570861714399338))]"
Скалка,Positive,"Чисто, уютно, доброжелательно. Вкусные суточные щи. Вкусные пельмени, с большим количеством начинки и чесночным соусом. Рекомендуем к посещению))",чисто уютно доброжелательно вкусный суточный вкусный пельмень большой количество начинка чесночный соус рекомендовать посещение,"[('чисто уютно', np.float64(0.019567497468398285)), ('рекомендовать посещение', np.float64(0.019567497468398285)), ('уютно доброжелательно', np.float64(0.03249356950085711)), ('пельмень большой', np.float64(0.03249356950085711)), ('большой количество', np.float64(0.03249356950085711))]"
Кафе-музей мотоциклов Гонщик,Positive,"Прекрасное место, вежливый персонал. Вкусная кухня. Были с ребёнком все в восторге.",прекрасный место вежливый персонал вкусный кухня ребенок восторг,"[('прекрасный место', np.float64(0.04940384002065631)), ('ребенок восторг', np.float64(0.04940384002065631)), ('место вежливый', np.float64(0.09700399286574239)), ('вежливый персонал', np.float64(0.09700399286574239)), ('персонал вкусный', np.float64(0.09700399286574239))]"
Миска Баланса,Positive,"Отличное место для тех, кто предпочитает сбалансированное питание. Очень вкусные авторские напитки. Молочные коктейли вкусные и осень красивые. Атмосфера в кафе приятная, красивые картины. Ожидание недолгое, персонал приятный.",отличный место предпочитать сбалансированный питание очень вкусный авторский напиток молочная коктейль вкусный осень красивый атмосфера кафе приятный красивый картина ожидание недолгий персонал приятный,"[('отличный место', np.float64(0.0214058215833658)), ('место предпочитать', np.float64(0.03545507291993334)), ('предпочитать сбалансированный', np.float64(0.03545507291993334)), ('сбалансированный питание', np.float64(0.03545507291993334)), ('авторский напиток', np.float64(0.03545507291993334))]"
Вэлс-Сервис,Positive,Останавливаемся только в этом отеле когда едим на рыбалку. Кухня и номера хорошие. ,останавливаться отель рыбалка кухня номер хороший,"[('останавливаться отель', np.float64(0.04940384002065631)), ('номер хороший', np.float64(0.04940384002065631)), ('отель рыбалка', np.float64(0.09700399286574239)), ('рыбалка кухня', np.float64(0.09700399286574239)), ('кухня номер', np.float64(0.09700399286574239))]"
Соль и перец,Positive,"Вкусно и быстро, заказывали омлеты,кофе, сегдвич, обстановка комфортная, красиво всё, обслуживание приятное, а рядом магазин с пивком ещё открылся БирКрик в квадрате, так что всё нужное рядом 😄",вкусно быстро заказывать омлет кофе сегдвич обстановка комфортный красиво весь обслуживание приятный рядом магазин пивко открываться биркрик квадрат весь нужный рядом,"[('вкусно быстро', np.float64(0.015380821171891606)), ('быстро заказывать', np.float64(0.02570861714399338)), ('заказывать омлет', np.float64(0.02570861714399338)), ('омлет кофе', np.float64(0.02570861714399338)), ('кофе сегдвич', np.float64(0.02570861714399338))]"
Шаурма от Души!,Positive,Шаурма огонь! Готовят вкусно и быстро! Сочная! Рекомендую! ,шаурма огонь готовить вкусно быстро сочный рекомендовать,"[('шаурма огонь', np.float64(0.04940384002065631)), ('сочный рекомендовать', np.float64(0.04940384002065631)), ('огонь готовить', np.float64(0.09700399286574239)), ('готовить вкусно', np.float64(0.09700399286574239)), ('вкусно быстро', np.float64(0.09700399286574239))]"
Зам-зам,Negative,"Не вкусно, сам брезгую, там что либо себе покупать, покупал знакомым плов и салат попросили фу попались волосы черные  чуть не блеванули. Не доверяю таким забегаловкам кушайте дома .Не тратьте зря деньги ! Не заводите себе в организме глистов. Грязно не вкусно готовят как обычно лишь бы продать вам пойдёт,  туда больше не пойду может для юганска это нормально забегаловки. ",вкусно брезговать либо покупать покупать знакомый плов салат попросить попадаться волос черный блевануть доверять забегаловка кушать дом тратить зря деньги заводить организм глист грязно вкусно готовить обычно лишь продавать пойти туда пойти мочь юганск нормальный забегаловка,"[('брезговать либо', np.float64(0.034987023778306175)), ('знакомый плов', np.float64(0.034987023778306175)), ('плов салат', np.float64(0.034987023778306175)), ('салат попросить', np.float64(0.034987023778306175)), ('попросить попадаться', np.float64(0.034987023778306175))]"
Family Bistro,Positive,"Очень довольна! Это 10 из 10 по всем критериям! Основной фактор который я отмечу, свежо! Хорошая вентиляция пространства, это очень важно. Еда вкусная, без специфики, меню понятное, официант вежливая, заботливая. Музыкальное сопровождение в кафе спокойное классическое. Очень ждем открытия вашего кафе на севере города (конец комендантского проспекта желательно 😅)  Спасибо!",очень довольный весь критерий основной фактор который отмечать свежо хороший вентиляция пространство очень важный еда вкусный специфика меню понятный официант вежливый заботливый музыкальный сопровождение кафе спокойный классический очень ждать открытие ваш кафе север город конец комендантский проспект желательно спасибо,"[('критерий основной', np.float64(0.015937962197648495)), ('основной фактор', np.float64(0.015937962197648495)), ('отмечать свежо', np.float64(0.015937962197648495)), ('свежо хороший', np.float64(0.015937962197648495)), ('хороший вентиляция', np.float64(0.015937962197648495))]"
Море мясо,Positive,"Атмосферное заведение Хорошие официанты Заказывали шашлык, очень понравился , вкусно и сытно",атмосферный заведение хороший официант заказывать шашлык очень понравиться вкусно сытно,"[('атмосферный заведение', np.float64(0.04940384002065631)), ('вкусно сытно', np.float64(0.04940384002065631)), ('заведение хороший', np.float64(0.09700399286574239)), ('хороший официант', np.float64(0.09700399286574239)), ('официант заказывать', np.float64(0.09700399286574239))]"
Суши Лайф,Positive,"Пока нашла вход, стемнело, еще и местные не знают (молодежь), где такое заведение😀 По вкусу мои говорят, что самые бестовые суши😀",пока находить вход стемнеть местный знать молодежь заведение вкус говорить самый бестовый суша,"[('бестовый суша', np.float64(0.04940384002065631)), ('находить вход', np.float64(0.09700399286574239)), ('вход стемнеть', np.float64(0.09700399286574239)), ('стемнеть местный', np.float64(0.09700399286574239)), ('местный знать', np.float64(0.09700399286574239))]"
An Ngon,Positive,"Мы с Мужем фанаты вьетнамской кухни, а хорошее место очень сложно найти )))  Это чудесное место нашёл мой Муж, совершенно случайно, когда посещал ТЦ Мари и  ему понравилось как готовят, он естественно привёз мне на пробу!!! И мы сошлись в одном мнении, что готовят очень круто, будто оказались в самом Вьетнаме и сразу начали вспоминать отдых, местную еду... Эхххх...  Так так... Сейчас не про отдых, простите просто эта еда  реально круто приготовлена и сразу куча воспоминаний)))  Вообщем Муж еду из этого места всегда привозил домой, а тут я забрёла по делам в Тц и решила зайти и посмотреть, что да как.  Жалко, что место спрятано за другим кафе, но знающий без проблем его найдёт. Как только вы приехали на этаж, сразу прямо, проходите, где столики и придёте к нужному месту.  Встретил меня истинный Вьетнамец, был очень приветлив, правда он плохо дружит с русским языком, но для меня это не проблема.  Всё, что я хотела донести до него, я донесла и он всё отлично понял, я оплатила заказ, мне дали чек и сказали подождать 8 минут и будет готово (это очень круто, что ждать совсем немного).  Окинув взглядом их помещение я осталась довольной, чисто и опрятно, а Главное Очень Вкусно!!!!))))  И у них ещё есть Яндекс Доставка, что очень удобно!!!  Советую посетить и попробовать!!!",муж фанат вьетнамский кухня хороший место очень сложно находить чудесный место находить муж совершенно случайно посещать мари понравиться готовить естественно привозить проба сходиться мнение готовить очень круто оказываться самый вьетнам сразу начинать вспоминать отдых местный еда эхххх отдых прощать просто еда реально круто приготавливать сразу куча воспоминание вообщий муж ехать место привозить домой забредать дело решать зайти посмотреть жалко место спрятать кафе знать проблема находить приезжать этаж сразу прямо проходить столик прийти нужный место встречать истинный вьетнамец очень приветливый правда плохо дружить русский язык проблема хотеть доносить доносить отлично понимать оплачивать заказ давать чек сказать подождать минута готовый очень круто ждать немного окидывать взгляд помещение оставаться довольный чисто опрятно главное очень вкусно яндекс доставка очень удобный советовать посещать попробовать,"[('посещать попробовать', np.float64(0.00857343884386136)), ('фанат вьетнамский', np.float64(0.009626533789232575)), ('вьетнамский кухня', np.float64(0.009626533789232575)), ('кухня хороший', np.float64(0.009626533789232575)), ('совершенно случайно', np.float64(0.009626533789232575))]"
Кафе,Positive,"Нормальная еда, готовят относительно быстро. Достаточно уютно, есть приличный туалет. Были группой 15 человек, все довольны. Хороший вариант для остановки в пути.",нормальный еда готовить относительно быстро достаточно уютно приличный туалет группа человек довольный хороший вариант остановка путь,"[('нормальный еда', np.float64(0.04940384002065631)), ('остановка путь', np.float64(0.04940384002065631)), ('еда готовить', np.float64(0.09700399286574239)), ('готовить относительно', np.float64(0.09700399286574239)), ('относительно быстро', np.float64(0.09700399286574239))]"
Чудесный горшочек,Positive,"Обожаю это место, пару лет уже точно постоянно берем здесь молочный чай с тапиокой и жареный тофу. Брали популярный чай с медведем, тоже вкусный и очень инстаграмный ☺️  Само место тоже приятное, чистенькое, небольшое и уютное.  Очень советую!",обожать место пара год точно постоянно брать молочный чай тапиока жареный тоф брать популярный чай медведь вкусный очень инстаграмный место приятный чистенький небольшой уютный очень советовать,"[('обожать место', np.float64(0.03103275709068186)), ('точно постоянно', np.float64(0.035212907523493216)), ('тапиока жареный', np.float64(0.035212907523493216)), ('жареный тоф', np.float64(0.035212907523493216)), ('медведь вкусный', np.float64(0.035212907523493216))]"
Харчевня Жасмин,Positive,"Шикарная кухня. Пробовали пельмени, дети и жена остались очень довольны. Порции очень достойные. Рекоменуем.",шикарный кухня пробовать пельмень ребенок жена оставаться очень довольный порция очень достойный рекоменовать,"[('шикарный кухня', np.float64(0.015380821171891606)), ('достойный рекоменовать', np.float64(0.015380821171891606)), ('кухня пробовать', np.float64(0.02570861714399338)), ('пробовать пельмень', np.float64(0.02570861714399338)), ('пельмень ребенок', np.float64(0.02570861714399338))]"
Грузинский дом,Positive,"Вкусная еда, душевная атмосфера, грузинская музыка) из минусов: дорогое и крайне невкусное пиво. Люблю хинкали с пивом, отличное сочетание, но не в этом случае ... Уважаемый владелец: закупите пожалуйста хорошего пива))",вкусный еда душевный атмосфера грузинский музыка минус дорогой крайне невкусный пиво любить хинкали пиво отличный сочетание случай уважаемый владелец закупать пожалуйста хороший пиво,"[('вкусный еда', np.float64(0.012721471060375576)), ('еда душевный', np.float64(0.01901723359114554)), ('душевный атмосфера', np.float64(0.01901723359114554)), ('атмосфера грузинский', np.float64(0.01901723359114554)), ('грузинский музыка', np.float64(0.01901723359114554))]"
CHICKO,Positive,"Все очень вкусно 👍 Еда на уровне, особенно корндоги класс :D оч круто тут почиллить после рабочего дня вечерком) персонал добродушный и отзывчивый, особенно Маша 🥰 ",очень вкусно еда уровень особенно корндоги класс круто почиллить рабочий день вечерок персонал добродушный отзывчивый особенно маша,"[('вкусно еда', np.float64(0.02570861714399338)), ('еда уровень', np.float64(0.02570861714399338)), ('корндоги класс', np.float64(0.02570861714399338)), ('класс круто', np.float64(0.02570861714399338)), ('круто почиллить', np.float64(0.02570861714399338))]"
Соус,Positive,Еда была вкусная продукты свежие очень понравился сервис    ,еда вкусный продукт свежий очень понравиться сервис,"[('еда вкусный', np.float64(0.04940384002065631)), ('понравиться сервис', np.float64(0.04940384002065631)), ('вкусный продукт', np.float64(0.09700399286574239)), ('продукт свежий', np.float64(0.09700399286574239)), ('еда', np.float64(0.15831692877998726))]"
Рагин Бор,Negative,"До последнего времени кофе было одним из любимых. Обязательно останавливались там, когда ехали в Санкт-Петербург. Но последний раз нас ждал сюрприз. Ехали 17 июля 2023, остановились как всегда, хотели перекусить.  Почему-то кафе работало только за наличный расчёт. Карты, переводы не принимались. За кассой молодой человек, лет 16, что, мягко говоря, удивило. Зашли в туалет - грязь невообразимая, некуда ступить. Пришлось обедать в другом месте. Разочарованы. ",последний время кофе любимый обязательно останавливаться ехать последний ждать сюрприз ехать июль останавливаться хотеть перекусить кафе работать наличный расчет карта перевод приниматься касса молодой человек год мягко говорить удивлять зайти туалет грязь невообразимый некуда ступать приходиться обедать место разочаровывать,"[('место разочаровывать', np.float64(0.020015945147273635)), ('кофе любимый', np.float64(0.03321694296690649)), ('любимый обязательно', np.float64(0.03321694296690649)), ('ждать сюрприз', np.float64(0.03321694296690649)), ('перекусить кафе', np.float64(0.03321694296690649))]"
Грильяж,Positive,"Неожиданно превосходная кухня и приятный интерьер.  Обслуживание на высоте. Были компанией из 6 человек. Картошка по деревенски - чумовая. Лучшая в моей жизни. Салат греческий, пельмешки и котлета по киевски - все очень понравилось.",неожиданно превосходный кухня приятный интерьер обслуживание высота компания человек картошка деревенский чумовая хороший жизнь салат греческий пельмешек котлета киевский весь очень понравиться,"[('неожиданно превосходный', np.float64(0.04940384002065631)), ('превосходный кухня', np.float64(0.09700399286574239)), ('кухня приятный', np.float64(0.09700399286574239)), ('приятный интерьер', np.float64(0.09700399286574239)), ('интерьер обслуживание', np.float64(0.09700399286574239))]"
Встреча,Positive,"Прекрасное помещение,отличная еда,необходимо нашему городу для проведения различных мероприятий,включая свадьбы,юбилеи и т.д.персонал вежливый",прекрасный помещение отличный еда необходимо наш город проведение различный мероприятие включая свадьба юбилей персонал вежливый,"[('прекрасный помещение', np.float64(0.04940384002065631)), ('персонал вежливый', np.float64(0.04940384002065631)), ('помещение отличный', np.float64(0.09700399286574239)), ('отличный еда', np.float64(0.09700399286574239)), ('еда необходимо', np.float64(0.09700399286574239))]"
